month,days_observed,bot_legs,bot_transactions,bot_volume_usd,avg_daily_unique_bots,median_daily_usd_per_leg,median_daily_legs_per_tx,avg_daily_legs,avg_daily_bot_volume_usd,usd_per_leg,legs_per_tx,usd_per_tx
2024-01,31,418849,256002,7375673396.839983,209.74193548387098,16560.60022382657,1.6358469945355192,13511.258064516129,237924948.28516075,17609.385236302303,1.6361161240927806,28810.999120475553
2024-02,29,318213,203859,6454336658.040059,176.3448275862069,19857.62467652185,1.5353332496548262,10972.862068965518,222563333.0358641,20283.070327233832,1.5609465365767516,31660.788378438327
2024-03,31,333804,211150,8796864395.965675,236.90322580645162,24859.670144853862,1.5813919837939516,10767.870967741936,283769819.2246992,26353.382212213382,1.5808856263319915,41661.68314452131
2024-04,30,445727,261829,9417218180.374968,284.53333333333336,22663.86359240011,1.701717225555449,14857.566666666668,313907272.6791656,21127.771439412394,1.702359173353601,35967.055522401904
2024-05,31,541980,309905,7094479329.998136,278.0,13195.733937700523,1.7524234936323893,17483.225806451614,228854171.93542373,13089.928281482962,1.7488585211597103,22892.43261644096
2024-06,30,550367,309488,6326346401.51528,220.16666666666666,11459.008229231074,1.7635891227117884,18345.566666666666,210878213.38384265,11494.77785098903,1.7783145065398336,20441.330201866567
2024-07,31,572419,326441,6976944509.0377445,204.83870967741936,11268.74532709805,1.7528234594808798,18465.129032258064,225062726.09799176,12188.527126174611,1.7535144176129838,21372.758045214126
2024-08,31,436665,288619,8373619488.552697,215.58064516129033,17297.20862699474,1.537096606827851,14085.967741935483,270116757.6952483,19176.30102836888,1.512946133137458,29012.71048875056
2024-09,30,427385,270055,5379826177.055536,216.06666666666666,12676.468990436115,1.576390211377046,14246.166666666666,179327539.23518455,12587.774903320276,1.582585028975579,19921.224110109186
2024-10,31,385893,248854,6509024490.109098,215.25806451612902,16319.7241409575,1.5044596012591815,12448.161290322581,209968531.93900317,16867.433433902916,1.5506803185803724,26155.997050917802
2024-11,30,264436,186029,7876491833.805947,203.4,30467.079119998587,1.4139546133471086,8814.533333333333,262549727.79353157,29786.00430276493,1.4214772965505378,42340.12887133698
2024-12,31,173514,134373,8303457163.565752,151.0,49543.82734867661,1.2761454183266931,5597.225806451613,267853456.8892178,47854.68125664645,1.2912861958875668,61794.089315307036
2025-01,31,197210,151554,7345542031.487822,158.48387096774192,37161.148888700736,1.2774089720378194,6361.612903225807,236952968.75767165,37247.310133805695,1.3012523588951792,48468.15017411498
2025-02,28,193585,149321,7486337946.561303,201.0,37377.39225493307,1.2896998576211707,6913.75,267369212.3771894,38672.097252169864,1.2964351966568668,50135.86800625031
2025-03,31,185014,146644,6864113637.441521,163.7741935483871,35533.05604539511,1.257946735395189,5968.193548387097,221423020.5626297,37100.50935303015,1.2616540738114073,46808.00876572871
2025-04,30,193460,151690,10237389861.32281,125.0,51639.533161988205,1.2743384342055468,6448.666666666667,341246328.7107603,52917.346538420396,1.2753642296789505,67488.8909046266
2025-05,31,250034,189482,12331643205.103094,118.29032258064517,53827.53654547301,1.3008021390374331,8065.612903225807,397794942.1000998,49319.86531872903,1.319565974604448,65080.81614666878
2025-06,30,250043,189510,10931634346.320084,117.9,44200.601861248506,1.3170587998980845,8334.766666666666,364387811.5440028,43719.01771423349,1.31941850034299,57683.68078898255
2025-07,31,230986,176267,19516291173.212185,121.41935483870968,101377.19670023088,1.3048764371613586,7451.1612903225805,629557779.7810382,84491.2296555297,1.310432468924983,110720.05068000355
2025-08,31,221564,169577,31185404086.410557,125.58064516129032,138190.60732907418,1.2984971497667992,7147.225806451613,1005980776.9809858,140751.2235128927,1.3065686974058983,183901.14276352664
2025-09,30,158852,128329,18237628701.37796,103.6,112404.02380237896,1.2414489452924222,5295.066666666667,607920956.7125987,114808.93348134088,1.2378495897264064,142116.19120680407
2025-10,31,154398,125685,14585525615.522814,102.3225806451613,93201.61169415188,1.223360655737705,4980.580645161291,470500826.30718756,94467.06314539576,1.228452082587421,116048.26045687881
2025-11,30,133952,110773,9650518939.247786,87.96666666666667,71255.20448467683,1.2067422984689171,4465.066666666667,321683964.64159286,72044.60507680204,1.209247740875484,87119.77593138929
2025-12,31,167156,136529,10268542401.060394,91.48387096774194,62885.419134125084,1.2287595145031887,5392.129032258064,331243303.26001275,61430.89330362293,1.2243259673768943,75211.43787078492
2026-01,31,183719,150953,11865199430.34599,91.87096774193549,67969.99069033739,1.2156862745098038,5926.419354838709,382748368.72083837,64583.409611123454,1.2170609394977245,78601.94517728027
2026-02,28,149569,121127,13049300062.856682,89.39285714285714,88529.6617560855,1.2325724970628948,5341.75,466046430.81631005,87246.02065171715,1.2348113963030538,107732.38058283192
2026-03,31,155023,128008,11222814043.959604,88.58064516129032,75662.94671002598,1.2005832793259883,5000.741935483871,362026259.4825679,72394.50948542864,1.211041497406412,87672.7551712362
2026-04,30,240902,175168,10902255764.281214,90.6,58701.450275308074,1.2371500839876557,8030.066666666667,363408525.4760405,45255.97863148174,1.375262605042017,62238.85506645742
2026-05,31,179202,143852,8138392517.97737,91.96774193548387,45315.10920345464,1.224339540926808,5780.709677419355,262528790.9024958,45414.62995936078,1.2457386758613018,56574.760990305105
2026-06,30,106040,93655,5564721105.782756,78.73333333333333,51272.30155078901,1.1240820131238123,3534.6666666666665,185490703.52609187,52477.56606735907,1.1322406705461534,59417.2345927367
